timestamp,AmbientLightSensor,AccX,AccY
1658587659674,242.0,0.23942017555236816,1.9153614044189453
1658587659696,242.0,0.3926490843296051,1.7812861204147339
1658587659781,,,1.5418659448623657
1658587659782,,0.6320692300796509,
1658587659890,,0.31603461503982544,1.5131354331970215
1658587659919,242.0,,
1658587659943,,,1.0534487962722778
1658587659944,,0.3734954595565796,
1658587659970,241.0,,
1658587660024,,0.47884035110473633,1.015141487121582
1658587660053,241.0,,
1658587660083,,0.47884035110473633,1.3120225667953491
1658587660085,242.0,,
1658587660156,,,1.3024457693099976
1658587660157,,0.727837324142456,
1658587660194,242.0,,
1658587660228,245.0,0.5267243981361389,1.4939818382263184
1658587660297,,,1.158793568611145
1658587660298,,0.45010992884635925,
1658587660331,244.0,,
1658587660333,,,1.1971008777618408
1658587660334,244.0,0.3064578175544739,
1658587660398,,,1.436521053314209
1658587660399,,-0.38307225704193115,
1658587660485,239.0,-0.6320692300796509,0.7852981686592102
1658587660491,239.0,,
1658587660558,,-0.7852981686592102,0.47884035110473633
1658587660593,225.0,,
1658587660594,,-1.0055646896362305,0.38307225704193115
1658587660628,225.0,,
1658587660661,,,0.26815059781074524
1658587660662,,-0.6224924325942993,
1658587660696,213.0,,
1658587660730,,-0.7757213711738586,0.9289502501487732
1658587660765,213.0,,
1658587660799,,-0.7661445140838623,1.1013327836990356
1658587660833,215.0,,
1658587660868,,-0.727837324142456,1.3407529592514038
1658587660902,215.0,,
1658587660937,230.0,-0.9481038451194763,1.656787633895874
1658587661006,,-1.50355863571167,2.1068975925445557
1658587661040,230.0,,
1658587661074,,-1.4652514457702637,2.049436569213867
1658587661142,,-2.0877439975738525,2.3367409706115723
1658587661176,222.0,,
1658587661177,222.0,,
1658587661181,,-1.6950948238372803,2.38462495803833
1658587661246,,-1.6663644313812256,2.8443117141723633
1658587661314,198.0,-1.7908629179000854,2.940079689025879
1658587661382,,,3.1890766620635986
1658587661383,,-1.886630892753601,
1658587661416,188.0,,
1658587661451,188.0,-1.944091796875,3.2561142444610596
1658587661520,,-1.8195933103561401,3.0550012588500977
1658587661553,172.0,,
1658587661588,172.0,-2.499546527862549,3.581725835800171
1658587661659,,,3.3901896476745605
1658587661660,149.0,-2.537853717803955,
1658587661699,,-2.691082715988159,3.1507694721221924
1658587661732,149.0,,
1658587661764,124.0,-3.19865345954895,3.0837318897247314
1658587661831,,-3.246537446975708,2.75812029838562
1658587661868,124.0,,
1658587661900,109.0,,
1658587661902,,-2.9879636764526367,2.2601263523101807
1658587661968,,-3.045424461364746,1.8291701078414917
1658587662002,109.0,,
1658587662005,122.0,,
1658587662039,,-2.9879636764526367,1.292868971824646
1658587662110,,-2.4612393379211426,0.7852981686592102
1658587662143,166.0,,
1658587662144,166.0,,
1658587662177,,-2.31758713722229,0.40222588181495667
1658587662218,,-1.9153614044189453,0.028730420395731926
1658587662249,178.0,,
1658587662282,178.0,,
1658587662283,,-2.030282974243164,-0.06703764945268631
1658587662350,,,-0.545877993106842
1658587662351,,-1.656787633895874,
1658587662385,181.0,,
1658587662420,,,-0.6607996821403503
1658587662421,,-1.4269442558288574,
1658587662422,181.0,,
1658587662488,,,-0.871489405632019
1658587662489,183.0,-1.37906014919281,
1658587662557,,,-1.0342950820922852
1658587662558,183.0,-1.3024457693099976,
1658587662626,186.0,-1.0438719987869263,-1.1492167711257935
1658587662695,,-0.7757213711738586,-1.3120225667953491
1658587662697,186.0,,
1658587662731,191.0,,
1658587662764,,-0.6991068720817566,-1.4173674583435059
